"level","number","x1","y1","x2","y2",
"line","A",669,185,895,207,
"line","B",708,215,956,237,
"line","B",708,245,1004,268,
"line","C",708,305,1204,328,
"line","C",745,335,945,357,
"line","C",745,365,906,387,
"line","C",745,395,955,417,
"line","C",745,425,985,447,
"line","C",708,453,730,480,
"line","D",708,514,1065,537,
"line","D",745,545,1270,568,
"line","D",790,575,1225,598,
"line","D",745,605,770,628,
"line","D",745,665,1020,688,
"line","D",708,692,728,720,
"line","E",708,755,1165,778,
"line","E",745,785,1225,808,
"line","E",745,815,1075,839,
"line","E",708,842,723,870,
"line","F",669,873,685,899,
