"level","number","x1","y1","x2","y2",
"line","A",669,170,895,193,
"line","B",708,200,956,222,
"line","B",708,230,1004,253,
"line","C",708,289,1204,313,
"line","C",745,320,945,342,
"line","C",745,350,906,373,
"line","C",745,380,955,403,
"line","C",745,410,985,432,
"line","C",708,435,730,465,
"line","D",708,498,1065,523,
"line","D",745,530,1270,554,
"line","D",745,560,840,584,
"line","D",790,590,1225,613,
"line","D",745,618,770,645,
"line","D",745,680,1020,705,
"line","D",708,705,728,735,
"line","E",708,770,1165,794,
"line","E",745,800,1225,823,
"line","E",745,830,1075,854,
"line","E",708,855,726,885,
"line","F",669,885,685,914,
