	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					29312	13:00:03.990	1539946799874618															0	1		Fixation	310	956	958				1	943.0	965.0	973.0	948.0	958.0	956.0	958.0	956.0	252,33	30,98	260,43	35,38	256,38	33,18	230,86	159,80	589,34	289,80	158,95	590,99					609,02	609,02	3,39	3,17	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					29612	13:00:04.290	1539946800174529															0	2		Fixation	153	897	534	7,70	108,74		91	867.0	505.0	925.0	546.0	896.0	525.0	896.0	525.0	231,94	154,28	247,61	143,31	239,77	148,79	231,23	162,07	590,41	289,87	161,07	591,69					610,74	610,74	3,29	3,21	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					29812	13:00:04.490	1539946800374530															0	3		Fixation	277	801	252	1,14	80,99	332,25	151	786.0	246.0	821.0	247.0	803.0	246.0	803.0	246.0	210,32	223,99	219,76	223,67	215,04	223,83	229,81	164,05	591,95	288,43	163,38	592,48					612,89	612,89	3,20	3,07	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					30109	13:00:04.787	1539946800671173															0	4		Fixation	187	808	208	1,72	192,01	111,02	240	793.0	209.0	819.0	191.0	806.0	200.0	806.0	200.0	212,28	233,71	219,27	238,55	215,77	236,13	228,05	166,07	595,17	286,82	165,85	595,20					616,68	616,68	2,84	2,77	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					30319	13:00:04.997	1539946800881149															0	5		Fixation	207	742	222	2,57	4,54	172,53	303	746.0	220.0	754.0	206.0	750.0	213.0	750.0	213.0	199,50	230,93	201,73	234,58	200,61	232,75	224,47	166,98	597,78	283,28	167,54	597,07					619,62	619,62	2,70	2,61	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					30645	13:00:05.323	1539946801207714															0	6		Fixation	373	843	214	0,55	155,70	151,16	401	822.0	228.0	861.0	207.0	841.0	217.0	841.0	217.0	220,06	228,72	230,41	234,39	225,23	231,55	220,32	169,48	603,15	279,10	171,52	601,61					625,73	625,73	2,63	2,58	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					31029	13:00:05.707	1539946801591005															0	7		Fixation	380	823	205	0,81	358,20	202,50	516	814.0	218.0	832.0	196.0	823.0	207.0	823.0	207.0	217,87	231,39	222,74	237,36	220,31	234,37	227,09	175,31	604,35	285,91	174,18	603,00					628,41	628,41	2,63	2,57	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					31422	13:00:06.100	1539946801984293															0	8		Fixation	790	855	206	0,66	182,21	184,01	634	845.0	213.0	854.0	177.0	849.0	195.0	849.0	195.0	226,00	232,88	228,48	242,38	227,24	237,63	231,14	175,27	602,18	289,97	174,79	601,76					626,18	626,18	2,52	2,41	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					32229	13:00:06.906	1539946802790913															0	9		Fixation	187	829	207	0,92	345,53	163,33	876	820.0	221.0	826.0	178.0	823.0	199.0	823.0	199.0	219,51	230,66	221,13	242,04	220,32	236,35	230,76	167,09	596,88	289,65	166,65	596,91					618,50	618,50	2,74	2,59	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	400120	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RO	29311	145471	116159					32435	13:00:07.113	1539946802997522															0	10		Fixation	323	864	216	1,05	209,13	223,60	938	855.0	223.0	876.0	187.0	865.0	205.0	865.0	205.0	228,91	230,01	234,33	239,74	231,62	234,88	229,28	164,81	597,49	288,15	164,49	597,45					618,40	618,40	2,86	2,72	0	0				
