	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					26581	15:25:38.120	1540823164843307															0	1		Fixation	137	995	685				1	991.0	707.0	999.0	666.0	995.0	686.0	995.0	686.0	265,06	100,04	267,29	111,22	266,18	105,63	258,05	207,01	666,61	320,63	204,46	661,17					697,04	697,04	3,86	4,25	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					26761	15:25:38.300	1540823165023236															0	2		Fixation	257	751	322	5,43	88,30		55																			-34,01										4	4				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					27044	15:25:38.583	1540823165306585															0	3		Fixation	270	755	188	1,89	15,42	287,13	140	757.0	212.0	753.0	187.0	755.0	199.0	755.0	199.0	202,68	232,96	201,49	239,63	202,08	236,30	253,97	209,02	668,98	316,17	207,53	661,76					699,96	699,96	3,36	3,71	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					27341	15:25:38.880	1540823165603150															0	4		Fixation	143	835	166	18,13	279,82	264,40	229	838.0	168.0	834.0	154.0	836.0	161.0	836.0	161.0	224,28	244,75	223,12	248,54	223,70	246,65	251,11	209,11	670,40	313,24	208,74	662,13					701,34	701,34	3,14	3,46	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					27541	15:25:39.080	1540823165803124															0	5		Fixation	130	972	955	1,19	261,75	341,93	289	986.0	953.0	963.0	940.0	974.0	946.0	974.0	946.0	263,90	34,10	257,78	37,66	260,84	35,88	251,60	208,33	670,42	313,20	208,01	662,33					701,09	701,09	3,39	3,64	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					27687	15:25:39.226	1540823165949819															0	6		Fixation	140	964	1010	18,73	99,33	197,58	333	968.0	1039.0	949.0	1015.0	958.0	1027.0	958.0	1027.0	259,00	11,13	253,94	17,39	256,47	14,26	252,02	207,74	669,94	313,97	207,45	661,83					700,43	700,43	3,46	3,79	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					27884	15:25:39.423	1540823166146460															0	7		Fixation	267	829	191	1,89	175,85	76,52	392	813.0	182.0	847.0	194.0	830.0	188.0	830.0	188.0	217,64	241,05	226,56	237,76	222,10	239,41	252,76	209,52	670,01	314,41	209,27	661,87					701,11	701,11	3,59	3,97	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					28174	15:25:39.713	1540823166436378															0	8		Fixation	287	746	185	1,45	312,36	136,51	479	732.0	161.0	738.0	176.0	735.0	168.0	735.0	168.0	195,79	246,60	197,41	242,67	196,60	244,64	252,22	210,19	670,85	314,39	209,79	663,00					702,13	702,13	3,58	4,05	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					28480	15:25:40.019	1540823166743000															0	9		Fixation	157	789	232	2,88	9,76	57,40	571	776.0	246.0	809.0	244.0	792.0	245.0	792.0	245.0	207,79	223,88	216,54	224,31	212,16	224,10	253,66	210,13	669,38	315,82	209,46	661,89					700,72	700,72	3,55	3,98	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					28660	15:25:40.199	1540823166923016															0	10		Fixation	263	859	220	3,34	268,62	258,87	625																			-34,01										4	4				
10	10	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	340783	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	RS	26580	89356	62776					28944	15:25:40.483	1540823167206276															0	11		Fixation	253	857	303	1,56	220,33	311,70	710	842.0	306.0	870.0	318.0	856.0	312.0	856.0	312.0	225,31	207,68	232,76	204,69	229,03	206,19	257,86	210,55	668,40	320,12	208,83	661,96					699,94	699,94	3,71	4,18	0	0				
