	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					94940	11:06:16.696	1539939972514605															0	1		Fixation	287	1069	544				1	1060.0	539.0	1079.0	544.0	1069.0	541.0	1069.0	541.0	283,69	145,17	288,65	143,77	286,17	144,47	217,99	190,09	563,86	282,05	182,30	565,81					596,37	596,37	3,57	3,61	0	0				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					95217	11:06:16.972	1539939972791200															0	2		Fixation	233	802	491	1,19	219,56		84	791.0	491.0	792.0	485.0	791.0	488.0	791.0	488.0	211,56	158,07	211,98	159,71	211,77	158,89	216,62	190,34	563,87	280,68	182,54	565,50					596,56	596,56	3,55	3,56	0	0				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					95467	11:06:17.222	1539939973041145															0	3		Fixation	117	768	519	2,27	357,95	138,39	159	756.0	523.0	757.0	519.0	756.0	521.0	756.0	521.0	202,38	149,63	202,46	150,63	202,42	150,13	216,25	190,79	563,88	280,31	183,05	565,52					596,76	596,76	3,30	3,35	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					95610	11:06:17.365	1539939973184489															0	4		Fixation	237	852	522	0,54	264,31	266,36	202	851.0	520.0	854.0	525.0	852.0	522.0	852.0	522.0	227,62	150,47	228,51	149,06	228,06	149,76	216,76	190,83	563,90	280,82	183,09	565,53					596,77	596,77	3,24	3,26	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					95850	11:06:17.605	1539939973424462															0	5		Fixation	150	850	542	1,63	356,17	91,87	274	849.0	534.0	847.0	544.0	848.0	539.0	848.0	539.0	227,14	146,65	226,69	143,98	226,91	145,32	217,00	190,55	563,33	281,01	182,72	565,03					596,12	596,12	3,11	3,18	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					96023	11:06:17.779	1539939973597726															0	6		Fixation	193	910	546	5,79	357,05	0,87	326	911.0	538.0	905.0	556.0	908.0	547.0	908.0	547.0	243,74	145,38	242,24	140,78	242,99	143,08	216,83	190,33	563,04	280,86	182,57	564,68					595,78	595,78	3,11	3,15	0	0				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					96256	11:06:18.012	1539939973831077															0	7		Fixation	160	1124	557	9,60	150,40	153,35	396	1125.0	528.0	1127.0	565.0	1126.0	546.0	1126.0	546.0	301,19	148,24	301,64	138,19	301,41	143,21	217,41	190,12	562,74	281,40	182,41	564,53					595,38	595,38	3,04	3,13	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					96790	11:06:18.545	1539939974364343															0	8		Fixation	243	815	382	2,71	8,64	218,25	556	825.0	345.0	811.0	394.0	818.0	369.0	818.0	369.0	220,83	197,24	216,95	184,16	218,89	190,70	216,58	194,12	570,18	280,74	182,59	563,83					603,82	603,82	3,25	3,20	0	0				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					97060	11:06:18.815	1539939974634342															0	9		Fixation	160	914	367	2,12	31,93	23,29	637	916.0	360.0	916.0	371.0	916.0	365.0	916.0	365.0	245,11	193,20	245,18	190,28	245,14	191,74	217,09	190,59	562,71	281,16	182,78	564,50					595,55	595,55	3,27	3,27	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	292628	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VO	94939	160002	65063					97246	11:06:19.002	1539939974820896															0	10		Fixation	243	980	326	1,39	357,75	325,82	693	978.0	330.0	983.0	326.0	980.0	328.0	980.0	328.0	261,62	201,42	263,11	202,37	262,36	201,89	217,40	190,39	562,19	281,38	182,56	564,13					594,98	594,98	3,23	3,22	0	0				
