	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
0	0	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					161675	15:24:21.234	1544106253697146															0	1		Fixation	200	1333	531				1																			-34,01										4	4				
1	1	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					161891	15:24:21.450	1544106253913774															0	2		Fixation	303	829	408	6,51	263,16		66																			-34,01										4	4				
2	2	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					162225	15:24:21.784	1544106254247088															0	3		Fixation	350	813	541	3,76	299,41	36,25	166	808.0	537.0	811.0	548.0	809.0	542.0	809.0	542.0	216,15	145,75	216,98	142,86	216,57	144,31	234,77	186,49	567,67	292,09	182,70	567,57					597,70	597,70	3,09	3,25	0	0				
3	3	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					162611	15:24:22.170	1544106254633655															0	4		Fixation	140	882	663	1,85	219,26	279,85	282	869.0	652.0	881.0	693.0	875.0	672.0	875.0	672.0	232,68	114,95	235,66	103,77	234,17	109,36	234,70	186,26	567,59	292,07	182,71	567,86					597,55	597,55	2,92	3,15	0	0				
4	4	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					162794	15:24:22.353	1544106254816962															0	5		Fixation	197	828	707	5,52	245,18	25,92	337	823.0	689.0	842.0	718.0	832.0	703.0	832.0	703.0	220,22	104,95	225,37	97,08	222,80	101,01	234,32	186,16	567,26	291,76	182,57	567,33					597,21	597,21	2,94	3,11	0	0				
5	5	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					163014	15:24:22.573	1544106255036965															0	6		Fixation	247	783	804	27,04	88,95	203,77	403																			-34,01										4	4				
6	6	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					163324	15:24:22.883	1544106255346927															0	7		Fixation	373	793	261	3,66	280,85	191,90	496	786.0	258.0	795.0	272.0	790.0	265.0	790.0	265.0	210,24	220,65	212,67	216,90	211,46	218,78	235,23	187,67	564,96	292,24	183,22	565,54					595,60	595,60	3,12	3,21	0	0				
7	7	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					163721	15:24:23.280	1544106255743525															0	8		Fixation	277	808	339	3,90	339,05	58,20	615																			-34,01										4	4				
8	8	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					164021	15:24:23.580	1544106256043531															0	9		Fixation	243	884	368	3,83	30,29	51,24	705	888.0	378.0	902.0	373.0	895.0	375.0	895.0	375.0	237,69	188,35	241,49	189,77	239,59	189,06	235,75	188,04	566,93	293,14	183,97	567,10					597,55	597,55	3,20	3,28	0	0				
9	9	n.a.	n.a.	n.a	n.a.	n.a.	n.a.	n.a.	405945	1920 x 1080		I-VT filter	Screen Recordings (1)	0	0	1920	1080	VS	161674	284985	123312					164411	15:24:23.970	1544106256433455															0	10		Fixation	223	963	322	0,87	175,75	145,46	822																			-34,01										4	4				
